Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
1a9b72fa-ac2d-4023-82de-40ecda5f26fd,2023-05-27 17:56:16,Running,,16.04,1:28:25,5:31,10.88,1309.0,244,,"","",2023-05-27-175616.gpx
631f0a26-2af0-4b65-abb5-1bd104451d76,2023-05-25 19:34:28,Running,,3.05,13:52,4:33,13.19,261.0,86,,"","Intervalado Escadinha - 1000m - 5:30  (95%)  - 500m - 5:15 (100%)  - 400m - 5:00 (105%) - 200m - 4:45 (110%)",2023-05-25-193428.gpx
a86b182a-bf19-4737-8c42-e5f49d9615ad,2023-05-23 20:24:57,Running,,9.60,44:10,4:36,13.04,776.0,120,,"","",2023-05-23-202457.gpx
78f5106b-70d9-4189-a15e-dd7c38ae3f1c,2023-05-18 19:45:59,Running,,3.61,14:01,3:53,15.46,300.0,87,,"","",2023-05-18-194559.gpx
50338d7d-94d8-47dc-a167-fc68df3d83f3,2023-05-16 19:44:51,Running,,3.62,17:11,4:45,12.63,356.0,236,,"","",2023-05-16-194451.gpx
09c1aa3d-3351-43ba-88e1-990d46f6c1e7,2023-05-14 07:33:39,Running,,21.09,1:54:56,5:27,11.01,1775.0,480,,"","",2023-05-14-073339.gpx
05eb2acf-8687-4a6e-99a1-a48bd771f88b,2023-05-14 07:17:54,Cycling,,2.57,10:41,4:10,14.41,66.0,60,,"","",2023-05-14-071754.gpx
ce8c8388-38a6-4552-8c36-074df59a5f4c,2023-05-11 19:37:32,Running,,3.26,18:26,5:39,10.62,265.0,44,,"","",2023-05-11-193732.gpx
dab07437-2f3a-4ae7-99f8-dd09d22673ad,2023-05-09 18:26:27,Running,,9.60,47:07,4:54,12.23,792.0,161,,"","",2023-05-09-182627.gpx
f86bbd7f-aa8e-4ef7-bd4c-a0f5976ea62f,2023-05-07 11:29:08,Cycling,,3.01,52:10,17:20,3.46,283.0,59,,"","",2023-05-07-112908.gpx
71884c48-682e-4cc5-bd9e-da44f48df511,2023-05-07 08:01:34,Running,,1.08,7:06,6:34,9.13,89.0,14,,"","",2023-05-07-080134.gpx
8a09ac79-c847-4bc7-8441-b8576db5beff,2023-05-07 07:10:24,Running,,10.07,50:36,5:01,11.94,870.0,280,,"","",2023-05-07-071024.gpx
7db39ead-0dd1-4c93-aab1-2af1f5883818,2023-05-07 06:54:43,Cycling,,2.77,10:56,3:57,15.20,86.0,91,,"","",2023-05-07-065443.gpx
